Ref,Val,Package,PosX,PosY,Rot,Side
"C2","4.7uF","C_0805_2012Metric",124.950000,-99.500000,0.000000,bottom
"J1","1-1734595-0 Header","CON10_1X10_DUM_HPI_TYC",119.500000,-102.847800,0.000000,bottom
"C1","100n","C_0805_2012Metric",137.500000,-81.500000,90.000000,top
"U1","AS5047P-ATSM","TSSOP14_OSM",132.000000,-82.500000,0.000000,top
